(None, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(119.47024384182627, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(119.30780763400968, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(118.74639059335871, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(118.22264499545926, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(118.0920826379143, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(118.2628864215994, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(118.05013430615256, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(117.63336779760775, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(117.10072894734279, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(116.057766888363, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(126.72416385616968, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(127.81752416604658, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(122.3817259020953, [215.33203125, 258.3984375, 21834.66796875, None])
(123.15432268876039, [215.33203125, 258.3984375, 21834.66796875, 215.33203125])
(125.6791554121361, [215.33203125, 258.3984375, 21834.66796875, 215.33203125])
(124.27667861226111, [215.33203125, 258.3984375, 21834.66796875, 215.33203125])
(122.23736567037732, [215.33203125, None, 21834.66796875, 215.33203125])
(123.46739696253391, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(123.93726963369451, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(123.16192637005045, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(122.98536196375352, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(123.61110231204665, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(122.81052149308215, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(122.35111075883735, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(123.06554819332351, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(122.86838185515552, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(122.37783326926055, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(127.90026518380229, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(125.41346660323362, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
(121.67541333989001, [215.33203125, 215.33203125, 21834.66796875, 215.33203125])
